gap_type,keyword,n_runs_found,n_seeds_found,n_sizes_found,mean_score,min_score,max_score,mean_frequency,cluster_labels,support
Emerging Concept,banks’ risk-taking,20,5,4,0.7185875813885739,0.6300954188985181,0.7821925077443485,1.0,Credit risk & Bank FinTech | Credit risk & Digitalization | Credit risk & Financial technology | Digitalization & Financial stability | Financial stability & Financial technology | Financial technology & Financial innovation | Financial technology & Financial literacy | Financial technology & Inclusive finance | Financial technology & Sub-Saharan Africa | Financial technology & Sustainability | Income inequality & Financial technology | Sub-Saharan Africa & Banks’ risk-taking,1.0
Cross-Cluster Concept,banks’ risk-taking,20,5,4,0.6014443677798458,0.5375836711135682,0.6860538596318473,1.0,Alternative credit & Bigtech credit | Artificial Intelligence & Banks | Credit risk & Bank FinTech | Credit risk & Bank credit risk | Credit risk & Digitalization | Credit scoring & Credit risk | Digital financial inclusion & Digital finance | Digital lending & Credit risk | Digital lending & Digital finance | Financial technology & Bank performance | Financial technology & Systematic Literature Review | Financial technology & panel data | Income inequality & Africa | Income inequality & Big tech | Income inequality & Financial technology | P2P lending & Credit risk,1.0
Emerging Concept,black swan,15,5,3,0.6746059644996086,0.6353691402186343,0.7,1.0,Banking stability & Digital inclusive finance | Credit risk & Digitalization | Digital financial inclusion & Digital finance | Digital lending & Credit risk | Digital lending & Digital finance | Digitalization & Financial stability | Financial literacy & Digital financial inclusion | Financial stability & Financial technology | Financial technology & Sub-Saharan Africa,0.75
Emerging Concept,soft information,13,5,3,0.6610053227617503,0.5827782468942004,0.7446672439035917,1.0,Alternative credit & Bigtech | Alternative credit & Bigtech credit | Alternative credit & bank lending | Bank lending & Bigtech credit | Bank lending & alternative credit | Credit risk & Financial technology | Credit risk & alternative credit | Financial stability & China,0.65
Emerging Concept,artificial intelligence,11,5,4,0.7037492715170639,0.5880018013277645,0.8008288568460169,1.0,Artificial Intelligence & Banks | Financial innovation & behavioral intention | Financial technology & Income inequality | Financial technology & Systematic Literature Review | Financial technology & behavioral intention | Financial technology & financial innovation | Financial technology & panel data | Income inequality & Financial technology,0.55
Emerging Concept,sub-saharan africa,11,4,4,0.6646182064500115,0.5785639942124933,0.7094936973573829,1.0,Alternative credit & Bigtech credit | Bank lending & Financial technology | Bank lending & alternative credit | Credit risk & Financial technology | P2P lending & bank lending,0.55
Emerging Concept,regulatory arbitrage,11,5,3,0.6629533172673107,0.6317406801103875,0.7115019639540461,1.0,Alternative credit & Bigtech | Alternative credit & Bigtech credit | Bank lending & Financial technology | Bank lending & alternative credit | Credit risk & alternative credit,0.55
Emerging Concept,risk-taking behavior,10,5,4,0.6496160341765295,0.5464490481827917,0.7087995716699245,1.0,Credit risk & Financial technology | Financial technology & Artificial Intelligence | Financial technology & Financial innovation | Financial technology & Inclusive finance | Financial technology & Sub-Saharan Africa | Income inequality & Financial technology | Sub-Saharan Africa & Banks’ risk-taking,0.5
Cross-Cluster Concept,sub-saharan africa,10,5,2,0.5514985444414057,0.5437422783212031,0.5592548105616082,3.0,Artificial Intelligence & Banks | Credit risk & Bank FinTech | Credit risk & Bank credit risk | Credit risk & Digitalization | Financial technology & Bank performance | Financial technology & panel data | Income inequality & Big tech | Income inequality & Financial technology,0.5
Cross-Cluster Concept,bank’s risk-taking,10,5,2,0.5410973037963123,0.5375836711135682,0.5446109364790563,1.0,Credit scoring & Credit risk | Digital financial inclusion & Digital finance | Digital lending & Credit risk | Digital lending & Digital finance | Financial technology & Systematic Literature Review | Income inequality & Africa | Income inequality & Financial technology | P2P lending & Credit risk,0.5
Cross-Cluster Concept,digital lending,10,5,2,0.5223907765563276,0.5128788736077116,0.5319026795049435,2.5,Bank lending & Bigtech credit | Credit risk & Bank FinTech | Financial stability & China | Financial technology & Sub-Saharan Africa | Financial technology & Systematic Literature Review | Sub-Saharan Africa & Banks’ risk-taking,0.5
Emerging Concept,rural dwelling,9,5,2,0.71475867060842,0.6898430061030763,0.7458359863076929,1.0,Financial technology & Artificial intelligence | Financial technology & Financial innovation | Financial technology & Financial literacy | Financial technology & Fintech adoption | Financial technology & Systematic Literature Review | Income inequality & Financial technology,0.45
Emerging Concept,bank’s risk-taking,9,5,2,0.7136722227193233,0.6711233907583971,0.7629284897993716,1.0,Credit risk & Bank FinTech | Credit risk & Financial stability | Credit risk & Financial technology,0.45
Emerging Concept,alternative information,9,4,3,0.6591349869441203,0.6147614765965019,0.6960404167970458,1.0,Alternative information & Digital inclusion | Bank performance & Inclusive finance | Banking stability & Digital inclusive finance | Credit risk & Digitalization | Debt trap & Digital financial literacy | Digital lending & Credit risk | Digital lending & Debt trap,0.45
Emerging Concept,digital lending,9,4,4,0.5435866252202717,0.3634508549867032,0.7277223652245653,1.0,Alternative credit & Bigtech credit | Credit risk & Digitalization | Income inequality & Africa | Income inequality & Big tech,0.45
Cross-Cluster Concept,bigtech credit,9,5,2,0.513868925931986,0.5018263514129284,0.523502985547232,2.0,Artificial Intelligence & Banks | Credit risk & Bank credit risk | Credit risk & Digitalization | Financial technology & Income inequality | Financial technology & Sub-Saharan Africa | Sub-Saharan Africa & Banks’ risk-taking,0.45
Emerging Concept,historical materialism,8,5,2,0.7016323598495593,0.6797751466816908,0.7204939529289593,1.0,Alternative credit & bank lending | Bank lending & Bigtech credit | Bank lending & Financial technology | Bank lending & alternative credit | Credit scoring & alternative data Sources | Financial stability & China | P2P lending & Credit risk | P2P lending & bank lending,0.4
Emerging Concept,debt trap,8,5,2,0.6679696044497543,0.5701137324331446,0.705859067729921,1.0,Banking stability & Digital inclusive finance | Credit risk & Digitalization | Debt trap & Digital financial literacy,0.4
Emerging Concept,south asia,8,4,4,0.6653818909202599,0.5112801735054122,0.7700000345845694,1.0,Digitalization & Financial stability | Financial technology & Artificial intelligence | Financial technology & Financial stability | Financial technology & Sub-Saharan Africa | Panel data & Alternative information | Sub-Saharan Africa & Banks’ risk-taking | Sustainability & Financial technology,0.4
Conceptual Combination,credit risk x financial inclusion,8,5,3,0.6551077015899418,0.5735570953533518,0.7117009979166558,9.5,Credit risk & Bank FinTech | Credit risk & Financial stability | Credit risk & Financial technology,0.4
Emerging Concept,big tech,8,4,3,0.6343769346627518,0.55,0.7241068627163229,1.0,Alternative data Sources & credit scoring | Income inequality & Africa | Income inequality & Big tech,0.4
Emerging Concept,disadvantaged communities,7,4,2,0.6885835121686453,0.6208853478659186,0.7923998954274627,1.0,Financial technology & Financial innovation | Financial technology & Income inequality | Financial technology & Systematic Literature Review | Financial technology & financial innovation | Financial technology & panel data,0.35
Conceptual Combination,financial technology x financial performance,7,4,2,0.6443274267525492,0.5741833010841855,0.7241833010841855,7.714285714285714,Financial technology & Artificial Intelligence | Financial technology & Artificial intelligence | Financial technology & Financial literacy | Financial technology & Financial stability | Financial technology & Inclusive finance | Financial technology & Sustainability,0.35
Emerging Concept,peer-to-peer lending,7,5,3,0.6106505665786889,0.5604318393426925,0.6438418305144777,1.0,Artificial Intelligence & Banks | Bank performance & Inclusive finance | Credit risk & Digitalization | Digital lending & Credit risk,0.35
Emerging Concept,social responsibilities,7,4,4,0.5435829933530815,0.447559040948392,0.610997907793575,1.0,Alternative information & Digital inclusion | Credit risk & Digitalization | Debt trap & Digital financial literacy | Digital lending & Credit risk | Digital lending & Debt trap | Financial literacy & Digital financial inclusion,0.35
Cross-Cluster Concept,bank fintech,7,5,2,0.5120986258603252,0.4979370700342781,0.5177632481907439,2.0,Alternative credit & Bigtech credit | Financial technology & Sub-Saharan Africa | Sub-Saharan Africa & Banks’ risk-taking,0.35
Emerging Concept,covid-19 pandemic,6,5,2,0.7047232286592484,0.6780558313284216,0.715398580900146,1.0,Alternative data Sources & credit scoring | Credit scoring & Credit risk | Credit scoring & alternative data Sources | P2P lending & Credit risk | P2P lending & bank lending,0.3
Emerging Concept,sustainable development,6,4,3,0.6926754874938683,0.6103162741494399,0.7550487127575229,1.0,Bank lending & Bigtech credit | Bank lending & alternative credit | China & Commercial banks | Credit risk & Bank FinTech | Credit risk & China | Financial stability & China,0.3
Conceptual Combination,credit risk x financial stability,6,4,2,0.6750957514944815,0.6036591662927223,0.718314044095361,8.666666666666666,Credit risk & Bank FinTech | Credit risk & Financial stability | Credit risk & Financial technology,0.3
Emerging Concept,gdp growth,6,4,3,0.6695709992875302,0.6211151418672098,0.7046208842289985,1.0,Credit risk & Bank FinTech | Financial technology & Bank performance,0.3
Conceptual Combination,commercial banks x financial inclusion,6,4,3,0.6224649894278126,0.5341634009605772,0.6770015503960723,7.0,Credit risk & Bank FinTech | Credit risk & Financial stability | Credit risk & Financial technology,0.3
Emerging Concept,financial sustainability,6,5,2,0.6076570333541085,0.5629318588562371,0.7039207090853921,1.0,Artificial Intelligence & Banks | Bank performance & Inclusive finance | Financial technology & financial innovation,0.3
Cross-Cluster Concept,inclusive finance,6,5,2,0.5150855896120513,0.48056958667151795,0.521988790200158,2.0,Alternative credit & Bigtech credit | Credit risk & Bank FinTech | Credit risk & Financial technology | Financial technology & financial innovation | Financial technology & panel data,0.3
Emerging Concept,loan size,5,4,2,0.702717477124003,0.644386578060719,0.737352547568575,1.0,Bank performance & Inclusive finance | Credit risk & Bank FinTech | Credit risk & China | Financial technology & Bank performance,0.25
Emerging Concept,umbrella review,5,5,1,0.6931610273000688,0.6602646079501624,0.7116447391056488,1.0,Digital financial inclusion & Digital finance | Digital lending & Digital finance | Financial literacy & Digital financial inclusion,0.25
Emerging Concept,income inequality,5,5,2,0.6788833263616485,0.6486446017429738,0.6925731842769578,1.0,Alternative credit & Bigtech credit | Artificial Intelligence & Banks | Bank performance & Inclusive finance,0.25
Conceptual Combination,financial inclusion x credit risk,5,4,2,0.6663221284871902,0.5949774111298238,0.6849774111298239,10.4,Credit risk & alternative credit | P2P lending & Credit risk | P2P lending & bank lending,0.25
Emerging Concept,risky behaviour,5,4,3,0.6166772764668073,0.5510838652837238,0.7165152843094202,1.0,Credit risk & Financial technology | Financial technology & Financial stability | Financial technology & behavioral intention | Sub-Saharan Africa & Banks’ risk-taking,0.25
Conceptual Combination,financial stability x financial technology,5,4,2,0.594148071783785,0.5546328098953887,0.7284209646163794,5.8,Bank lending & Bigtech credit | Digitalization & Financial stability | Financial stability & Financial technology | Financial technology & Financial literacy | Financial technology & Sustainability,0.25
Cross-Cluster Concept,financial innovation,5,5,1,0.5842158444101582,0.5842158444101582,0.5842158444101582,3.0,Credit risk & Bank FinTech | Credit risk & Digitalization | Credit risk & Financial technology | Financial technology & Bank performance | Income inequality & Big tech,0.25
Emerging Concept,financial constraints,5,4,2,0.5689197090960016,0.5350570063199419,0.6286038736366104,1.0,Credit risk & Bank FinTech | Income inequality & Big tech,0.25
Emerging Concept,credit risk,5,4,2,0.5496008388892953,0.49055673141017275,0.7,1.0,Credit risk & Digitalization,0.25
Conceptual Combination,digital lending x financial literacy,5,5,1,0.5311035527210757,0.5131035527210757,0.5731035527210756,4.6,Digital financial inclusion & Digital finance | Digital lending & Digital finance | Financial literacy & Digital financial inclusion,0.25
Conceptual Combination,digital finance x financial literacy,5,5,1,0.5074134358993865,0.4714134358993865,0.5614134358993865,5.2,Digital financial inclusion & Digital finance | Digital lending & Digital finance | Financial literacy & Digital financial inclusion,0.25
Cross-Cluster Concept,commercial banks,5,5,1,0.5048861925315545,0.5048861925315545,0.5048861925315545,2.0,Credit risk & Financial technology | Financial technology & Income inequality | Financial technology & Sub-Saharan Africa | Financial technology & financial innovation | Income inequality & Financial technology,0.25
Cross-Cluster Concept,peer-to-peer lending,5,5,1,0.5009545547967524,0.5009545547967524,0.5009545547967524,2.0,Alternative credit & Bigtech credit,0.25
Cross-Cluster Concept,financial literacy,5,5,1,0.48920682247718295,0.48920682247718295,0.48920682247718295,2.0,Credit risk & Bank FinTech | Digital lending & Credit risk | Financial stability & Financial technology | Income inequality & Africa,0.25
