gap_type,keyword,keyword_display,cluster,cluster_label,score,frequency,n_articles,citations,rationale,article_titles,article_dois,metric_distance_from_subcentroid,metric_distance_zscore,metric_centrality,metric_tfidf,metric_global_frequency,metric_similarity,metric_frequency_1,metric_frequency_2,metric_mean_tfidf,metric_frequency_other_clusters,metric_presence_ratio
Conceptual Combination,credit risk x financial inclusion,Credit risk x Financial inclusion,2,Credit risk & Financial technology,0.7117009979166558,10,0,,semantically related (similarity=0.35) but never co-occurring; mean tfidf=0.0307,,,,,,,,0.34957375633227017,5.0,5.0,0.03068066428361318,,
Conceptual Combination,credit risk x fintech credit,Credit risk x Fintech credit,2,Credit risk & Financial technology,0.6420377078669098,7,0,,semantically related (similarity=0.46) but never co-occurring; mean tfidf=0.0129,,,,,,,,0.45833313948285864,5.0,2.0,0.0129014064843989,,
Conceptual Combination,commercial banks x financial inclusion,Commercial banks x Financial inclusion,2,Credit risk & Financial technology,0.6354584834575043,7,0,,semantically related (similarity=0.39) but never co-occurring; mean tfidf=0.0239,,,,,,,,0.39232248758032295,2.0,5.0,0.023866831131081994,,
Conceptual Combination,financial technology x financial innovation,Financial technology x Financial innovation,1,Financial technology & financial innovation,0.42791380724663397,4,0,,semantically related (similarity=0.62) but never co-occurring; mean tfidf=0.0137,,,,,,,,0.6163971870838265,2.0,2.0,0.013677185637898387,,
Cross-Cluster Concept,banks’ risk-taking,Banks’ risk-taking,0,Credit risk & Digitalization,0.6375290038949116,1,1,195.0,"absent from cluster 0, present in 1 record(s) elsewhere (2.0% of corpus), tfidf=0.0282",Fintech-based financial inclusion and bank risk-taking: Evidence from OIC countries,10.1016/j.intfin.2021.101447,,,,0.028187112218157142,,,,,,1.0,0.02
Cross-Cluster Concept,financial innovation,Financial innovation,0,Credit risk & Digitalization,0.5842158444101582,3,3,51.0,"absent from cluster 0, present in 3 record(s) elsewhere (6.0% of corpus), tfidf=0.0121",Promise (Un)Kept? Fintech and Financial Inclusion | THE ROLE OF FINANCIAL TECHNOLOGY IN ENHANCING FINANCIAL INCLUSION: A REGULATORY PERSPECTIVE ON CURRENT INDUSTRY TRENDS | Has financial inclusion made the financial sector riskier?,10.1111/sjpe.70012 | 10.22495/cbsrv6i1art4 | 10.1108/JFRC-08-2020-0074,,,,0.01212833965001484,,,,,,3.0,0.06
Cross-Cluster Concept,sub-saharan africa,Sub-Saharan Africa,0,Credit risk & Digitalization,0.5437422783212031,3,3,143.0,"absent from cluster 0, present in 3 record(s) elsewhere (6.0% of corpus), tfidf=0.0075",Upstarts vs incumbents: the interaction between fintech credit and bank lending in Sub-Saharan Africa | Fintech-based Financial Inclusion and Risk-taking of Microfinance Institutions (MFIs): Evidence from Sub-Saharan Africa | Fintech-based financial inclusion and banks' risk-taking: the role of regulation in Sub-Saharan Africa,10.1080/23322039.2024.2375643 | 10.1016/j.frl.2021.102149 | 10.1108/JEAS-11-2023-0304,,,,0.007462909655834451,,,,,,3.0,0.06
Cross-Cluster Concept,inclusive finance,Inclusive finance,2,Credit risk & Financial technology,0.521988790200158,2,2,19.0,"absent from cluster 2, present in 2 record(s) elsewhere (4.0% of corpus), tfidf=0.0099","Inclusive FinTech, open banking, and bank performance: evidence from China | Does Fintech-Driven Inclusive Finance Induce Bank Profitability? Empirical Evidence from Developing Countries",10.1186/s40854-024-00679-3 | 10.3390/jrfm16100457,,,,0.009912017144260982,,,,,,2.0,0.04
Cross-Cluster Concept,commercial banks,Commercial banks,1,Financial technology & financial innovation,0.5048861925315545,2,2,424.0,"absent from cluster 1, present in 2 record(s) elsewhere (4.0% of corpus), tfidf=0.0079",Does bank FinTech reduce credit risk? Evidence from China | The impact of bank FinTech on commercial banks' risk-taking in China,10.1016/j.pacfin.2020.101398 | 10.1016/j.irfa.2023.102944,,,,0.007940582950245736,,,,,,2.0,0.04
Cross-Cluster Concept,bigtech credit,Bigtech credit,5,Financial technology & Sub-Saharan Africa,0.5018263514129284,2,2,8.0,"absent from cluster 5, present in 2 record(s) elsewhere (4.0% of corpus), tfidf=0.0076",Upstarts vs incumbents: the interaction between fintech credit and bank lending in Sub-Saharan Africa | Digital disruption in financing: Are fintech and bigtech credit reshaping corporate access to capital?,10.1080/23322039.2024.2375643 | 10.1016/j.intfin.2025.102198,,,,0.007587871886909002,,,,,,2.0,0.04
