article_cluster,keyword,frequency,n_tokens,subcluster,distance_from_subcentroid,centrality,tfidf,global_frequency,is_core_domain,cluster_label
0,credit risk,1,2,2,0.21599976988330716,0.4261859866156499,0.021568249255308113,6,False,Credit risk & Digitalization
0,digitalization,1,1,1,0.3448883911535555,0.42445889886566823,0.006805936931199654,2,False,Credit risk & Digitalization
0,egyptian banking sector,1,3,0,0.12259675578227669,0.44447652701041807,0.0040712427327056055,1,False,Credit risk & Digitalization
0,financial inclusion,2,2,1,0.23736656714085158,0.24744105370857017,0.03979307931191825,28,True,Credit risk & Digitalization
0,banking stability,1,2,0,0.12259675578227791,0.352929006630758,0.00320980062687593,1,False,Credit risk & Digitalization
0,digital inclusive finance,1,3,1,0.11250777422239955,0.18601248020692263,0.00320980062687593,1,False,Credit risk & Digitalization
0,financial technology innovation,1,3,1,0.20782331514260888,0.25365757833090674,0.00320980062687593,1,False,Credit risk & Digitalization
0,risk transmission mechanisms,1,3,2,0.3016382632741825,0.5747850182221892,0.00320980062687593,1,False,Credit risk & Digitalization
0,debt trap,1,2,2,0.27854365709099616,0.5076362885186358,0.0035500266524496117,1,False,Credit risk & Digitalization
0,digital financial literacy,1,3,1,0.1854904837463407,0.2635976536208866,0.006674009493307058,2,False,Credit risk & Digitalization
0,digital lending,1,2,1,0.25196845407159163,0.2993909863575299,0.006790361222391098,2,False,Credit risk & Digitalization
0,fintech,1,1,1,0.220245255863583,0.2777151526086866,0.04610841539316258,34,True,Credit risk & Digitalization
1,artificial intelligence,1,2,2,0.3501876271531672,0.5476971165331981,0.00410476384656232,1,False,Financial technology & financial innovation
1,banks,1,1,0,0.45069115467226384,0.4986968206359127,0.016695269867076968,1,False,Financial technology & financial innovation
1,digital payment,1,2,0,0.37744586789311185,0.4149661721404103,0.00410476384656232,1,False,Financial technology & financial innovation
1,financial inclusion,11,2,0,0.2108520596604504,0.2750716191624605,0.03979307931191825,28,True,Financial technology & financial innovation
1,fintech,11,1,0,0.23755905761229001,0.3515020528506525,0.04610841539316258,34,True,Financial technology & financial innovation
1,mobile banking,1,2,0,0.3501874252426378,0.4446110578786533,0.0037437841570072644,1,False,Financial technology & financial innovation
1,village and township banks,1,4,0,0.48110322109079084,0.5651618449246407,0.0037437841570072644,1,False,Financial technology & financial innovation
