item,keyword,novelty,label,comment
1,commercial banks,,,
2,risk-taking behavior,,,
3,credit risk x financial inclusion,,,
4,credit risk,,,
5,south asia,,,
6,bigtech credit,,,
7,regulatory resources,,,
8,credit risk x fintech credit,,,
9,big tech,,,
10,financial innovation,,,
11,commercial banks x financial inclusion,,,
12,soft information,,,
13,alternative data,,,
14,financial technology x financial innovation,,,
15,banks’ risk-taking,,,
16,black swan,,,
17,artificial intelligence,,,
18,output volatility,,,
19,disadvantaged communities,,,
20,digital lending,,,
21,inclusive finance,,,
22,bank fintech,,,
23,debt trap,,,
24,bank concentration,,,
25,sub-saharan africa,,,
