gap_type,keyword,n_runs_found,n_seeds_found,n_sizes_found,mean_score,min_score,max_score,mean_frequency,cluster_labels,support
Peripheral Keyword,debit card,13,5,3,0.5265302617170021,0.4717061647965789,0.5570534355564911,1.0,Bank FinTech & Bigtech credit | Commercial banks & Credit risk | Commercial banks & bank lending | Credit risk & alternative credit,0.65
Peripheral Keyword,rural dwelling,9,5,2,0.634201638959195,0.5836643106880495,0.6566813571893898,1.0,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland | Development Economics & Economics",0.45
Peripheral Keyword,south asia,9,5,4,0.565794685152626,0.4293792183163345,0.6108236176724186,1.0,"China & Sub-Saharan Africa | Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland | Development Economics & Sub-Saharan Africa | Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland & Sub-Saharan Africa",0.45
Peripheral Keyword,credit card,9,5,2,0.5145474925458079,0.5009914076096855,0.5268751463666604,1.0,Bank FinTech & Bigtech credit | Commercial banks & Credit risk | Credit risk & alternative credit,0.45
Peripheral Keyword,regulatory arbitrage,8,5,3,0.5172458088968419,0.5027921213137609,0.5230686681523786,1.0,Commercial banks & Credit risk | Commercial banks & bank lending | Credit risk & alternative credit | Development Economics & Finance,0.4
Peripheral Keyword,account ownership,7,5,3,0.5673348487067618,0.5485130929412803,0.5999939168667341,1.0,"Alternative credit & Bigtech credit | Commercial banks & Credit risk | Commercial banks & bank lending | Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland",0.35
Peripheral Keyword,benin republic,5,5,1,0.6161953273911962,0.6151733281123966,0.6173367390670808,1.0,China & system GMM,0.25
Peripheral Keyword,historical materialism,5,3,2,0.5937694546329156,0.5897758817074698,0.5973986352587257,1.0,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland | Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland & Economics | Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland & Regulatory arbitrage",0.25
Peripheral Keyword,loan officer,5,4,2,0.4935735743825919,0.4887942301760704,0.4975180180939529,1.0,Commercial banks & Credit risk | Credit risk & alternative credit,0.25
Peripheral Keyword,debt trap,5,4,3,0.4624830497568414,0.4433584398131101,0.4915254034706489,1.0,Commercial banks & Credit risk | Credit risk & alternative credit,0.25
Peripheral Keyword,umbrella review,4,4,1,0.5862659253812028,0.5846560468616031,0.5873404559660732,1.0,China & system GMM,0.2
Peripheral Keyword,risk-taking behavior,4,2,3,0.5394264005373118,0.5029730789841628,0.6000886698799444,1.0,"Credit risk & alternative credit | Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland | Regulatory arbitrage & Relationship lending",0.2
Peripheral Keyword,reverse socialisation,3,3,1,0.5986955488343167,0.5942617037310103,0.6023646664307948,1.0,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland",0.15
