item,keyword,novelty,label,comment
1,consumer behavior,,,
2,customer experience,,,
3,customer engagement x brand attitude,,,
4,e-commerce platforms,,,
5,ant forest,,,
6,digital marketing,,,
7,psychological fear,,,
8,customer engagement x gamification marketing,,,
9,service business,,,
10,brand engagement,,,
11,brand loyalty x brand attitude,,,
12,educational technology,,,
13,location-based technology,,,
14,consumer–brand engagement,,,
15,gamification marketing,,,
16,travel agencies,,,
17,sustainability behavior,,,
18,purchasing decisions,,,
19,mobile communication,,,
20,consumer behaviour,,,
21,brand equity,,,
22,brand love,,,
23,stealth marketing,,,
24,time poverty,,,
25,environmental awareness,,,
26,mobile apps,,,
