keyword,frequency,n_tokens,cluster,distance_from_subcentroid,centrality,tfidf,global_frequency,is_core_domain,cluster_label
brand loyalty,6,2,2,0.2783031930767581,0.4253582437719725,0.014512310564185421,6,False,Brand loyalty & Brand love
customer buying intentions,1,3,7,0.16280457613734467,0.3513973767863352,0.003529558306431876,1,False,Customer buying intentions & consumer experience
customer engagement,7,2,4,0.10064058420870592,0.31106782832560376,0.016805824335699233,7,False,Customer engagement & Consumer–brand engagement
gamification in marketing,1,3,1,0.14327017553882904,0.4005546358017309,0.003529558306431876,1,False,Gamification in marketing & gamification marketing
consumer experience,1,2,7,0.2409367216291125,0.3364502282684587,0.003774829487926315,1,False,Customer buying intentions & consumer experience
gamification marketing,3,2,1,0.13496540763369558,0.3844734941622483,0.02223620989257851,3,False,Gamification in marketing & gamification marketing
popmart,1,1,0,0.510909341115824,0.5783711638448734,0.003774829487926315,1,False,POPMART & Community
use model,1,2,5,0.4286050464534299,0.5155638462012226,0.003774829487926315,1,False,USE model & Value
brand love,3,2,2,0.08527448900843604,0.3593231998947358,0.009916881130294423,3,False,Brand loyalty & Brand love
desirable consumer behaviors,2,3,7,0.2575206402047546,0.4072610690545517,0.007431653143564207,2,False,Customer buying intentions & consumer experience
value,1,1,5,0.38628534529787584,0.49428851212321934,0.012256278640189567,1,False,USE model & Value
branded app,1,2,2,0.2915444754644747,0.4248051709891838,0.0032320848985656746,1,False,Brand loyalty & Brand love
consumer–brand engagement,1,2,4,0.13698839569337662,0.3164809452049089,0.05275027105204532,1,False,Customer engagement & Consumer–brand engagement
elemental tetrad model,1,3,6,0.5184828577724956,0.6534402153986145,0.0032320848985656746,1,False,Elemental tetrad model & Hedonic motivation
gamification,40,1,1,0.11343097383690315,0.4131267646600554,0.04567735013925583,40,True,Gamification in marketing & gamification marketing
marketing effectiveness,1,2,7,0.4027102547267941,0.40254880763213974,0.0032320848985656746,1,False,Customer buying intentions & consumer experience
brand,2,1,2,0.2777043291638427,0.4633121312345836,0.05275027105204532,2,False,Brand loyalty & Brand love
community,1,1,0,0.46385094958838846,0.48509431495110555,0.004542992959786898,1,False,POPMART & Community
engagement,7,1,4,0.22098539584036803,0.38302302361668095,0.04631763603414402,7,False,Customer engagement & Consumer–brand engagement
marketing,8,1,0,0.2755545011808218,0.3652547162379547,0.04164016956319825,8,False,POPMART & Community
social commerce,1,2,3,0.3109926924474675,0.3792772715614652,0.004542992959786898,1,False,Social commerce & Retailing
brand attitude,6,2,2,0.2108708598342568,0.40955229794954073,0.01588363658966458,6,False,Brand loyalty & Brand love
tam,1,1,5,0.4677656544951194,0.6064601943016983,0.0061489131549417484,1,False,USE model & Value
digital marketing,1,2,0,0.266446147554787,0.4057427186643934,0.005452590223989428,1,False,POPMART & Community
digitization,1,1,0,0.46446471475996354,0.5563173048696625,0.005452590223989428,1,False,POPMART & Community
internet,1,1,0,0.3829045259139273,0.5155130813649855,0.005452590223989428,1,False,POPMART & Community
immersion,1,1,5,0.5054867508344651,0.5614208598395063,0.004082619210059092,1,False,USE model & Value
s-o-r model,1,2,5,0.45276326919595933,0.5157473397557911,0.004082619210059092,1,False,USE model & Value
game elements,1,2,1,0.36405473810077393,0.5328054804625619,0.0030641998720734942,1,False,Gamification in marketing & gamification marketing
gameful experience,1,2,1,0.24801737277064917,0.47562242577450575,0.005512489482295284,1,False,Gamification in marketing & gamification marketing
hedonic motivation,1,2,6,0.38731242501805274,0.5804737448858688,0.0030641998720734942,1,False,Elemental tetrad model & Hedonic motivation
user experience,1,2,7,0.394892749893609,0.35360154860371595,0.0030641998720734942,1,False,Customer buying intentions & consumer experience
utilitarian motivation,1,2,6,0.35115067607727424,0.4869941338989835,0.0030641998720734942,1,False,Elemental tetrad model & Hedonic motivation
brand advocacy,1,2,2,0.17580827538004296,0.39665948121387706,0.0030313832038381633,1,False,Brand loyalty & Brand love
customer brand engagement,3,3,4,0.14142222317662767,0.3056477828837837,0.00926056357115726,3,False,Customer engagement & Consumer–brand engagement
fomo,1,1,5,0.45410970383544047,0.5242722925052083,0.0030313832038381633,1,False,USE model & Value
gameful experience (gamex),1,3,1,0.26805512162495393,0.5110864097367505,0.02574100354156612,1,False,Gamification in marketing & gamification marketing
re-visit intention,1,2,6,0.4790557760229156,0.5482186600787251,0.0030313832038381633,1,False,Elemental tetrad model & Hedonic motivation
brand engagement,3,2,4,0.11659047363287223,0.27338337659574563,0.01855711642154223,3,False,Customer engagement & Consumer–brand engagement
brand equity,1,2,2,0.2195579975998575,0.43245532254616215,0.004102429984683926,1,False,Brand loyalty & Brand love
brand experience,1,2,2,0.17072303233433594,0.3212326148765037,0.0032676068533502535,1,False,Brand loyalty & Brand love
brand value co-creation,2,3,2,0.2723889689843968,0.40046227748353735,0.005033148951258614,2,False,Brand loyalty & Brand love
consumer engagement,2,2,4,0.11189854176559044,0.28875946383437134,0.006593525777825512,2,False,Customer engagement & Consumer–brand engagement
innovative brand management,1,3,2,0.2988971401968188,0.4299093611045821,0.0032676068533502535,1,False,Brand loyalty & Brand love
brand awareness,2,2,2,0.2145278139370368,0.37815684992158816,0.0062135715232402335,2,False,Brand loyalty & Brand love
gamified applications,1,2,1,0.12550112461391927,0.45208716575137875,0.0034236268783878867,1,False,Gamification in marketing & gamification marketing
gamified marketing practices,1,3,1,0.12916089071822623,0.3954119202220394,0.0034236268783878867,1,False,Gamification in marketing & gamification marketing
consumer behavior,2,2,7,0.20545426240256381,0.3754044971283512,0.006073514605453013,2,False,Customer buying intentions & consumer experience
perceived brand coolness,1,3,2,0.30614026324756205,0.442080830573202,0.0031771567761825228,1,False,Brand loyalty & Brand love
purchase intention,1,2,7,0.2791211165380145,0.40011919624645276,0.0031771567761825228,1,False,Customer buying intentions & consumer experience
time poverty,1,2,5,0.5935756379996343,0.6170421681475498,0.0031771567761825228,1,False,USE model & Value
aesthetics,1,1,5,0.5238041632996535,0.5990828373158152,0.0032646053031711447,1,False,USE model & Value
game design,1,2,1,0.3272892437875148,0.4964468322964186,0.0032646053031711447,1,False,Gamification in marketing & gamification marketing
gaming,1,1,1,0.35781422633789395,0.4638016753864589,0.0032646053031711447,1,False,Gamification in marketing & gamification marketing
mechanics,1,1,5,0.49192163428386015,0.6176412492089638,0.0032646053031711447,1,False,USE model & Value
mobile,1,1,0,0.3950869912973729,0.5095168249640966,0.017626886996208832,1,False,POPMART & Community
retailing,1,1,3,0.24638238958696168,0.4864852951690597,0.006843237172667165,1,False,Social commerce & Retailing
story,1,1,5,0.44898987121309175,0.5662717281486581,0.0032646053031711447,1,False,USE model & Value
technology,1,1,0,0.3940914006354379,0.4916269184705402,0.014099114421386998,1,False,POPMART & Community
brand trust,1,2,2,0.19856745927664687,0.40113652584385084,0.0034233392358399162,1,False,Brand loyalty & Brand love
pls-sem,2,1,5,0.41481194303595414,0.5350163490733517,0.013364006903681185,2,False,USE model & Value
seminr,1,1,5,0.43589004694621325,0.5621634024398783,0.0034233392358399162,1,False,USE model & Value
word-of-mouth,2,1,0,0.4638017465833997,0.473780430044335,0.006403661054047483,2,False,POPMART & Community
customer experience,3,2,7,0.269125679356052,0.3480141588638235,0.010977063396689565,3,False,Customer buying intentions & consumer experience
field experiment,1,2,5,0.5087522339462554,0.5591678158756267,0.0065257216243539105,1,False,USE model & Value
retail,2,1,3,0.24113222381441712,0.4597698982242626,0.01219603536700861,2,False,Social commerce & Retailing
consumer brand engagement,1,3,4,0.13711064769649528,0.2890835137020802,0.005426536901058246,1,False,Customer engagement & Consumer–brand engagement
gamification marketing activities,1,3,1,0.13331896216666794,0.38660250605678836,0.002768453805614818,1,False,Gamification in marketing & gamification marketing
