gap_type,keyword,n_runs_found,n_seeds_found,n_sizes_found,mean_score,min_score,max_score,mean_frequency,cluster_labels,support
Emerging Concept,business model,20,5,4,0.7608260364937962,0.549405215873274,0.9258824829146857,1.0,Competitive advantage & Dynamic managerial capabilities | Digital transformation (DT) & mixed method | Digitalization & Dynamic capability | Digitalization & Firm performance | Digitalization & Microfoundations | Dynamic capabilities & Digitalization | Dynamic capabilities & Firm performance | Dynamic managerial capabilities & Innovation | Firm performance & Digital innovation management | Firm performance & Digital transformation (DT) | Firm performance & Dynamic capability | Industry 4.0 & Firm performance,1.0
Emerging Concept,social attention,20,5,4,0.7104449048390584,0.6848134151448526,0.7231583146409728,1.0,Dynamic capabilities & Dynamic capability theory | Dynamic capability & Dynamic capability theory | Dynamic capability theory & ESG performance | ESG performance & Digital Technology | ESG performance & Dynamic capability theory | ESG performance & Firm performance | ESG performance & Technological innovation | Firm performance & ESG performance,1.0
Emerging Concept,pär ågerfalk,17,5,4,0.5727114324533017,0.43984292504540756,0.6574837810750165,1.0,Digital innovation & family business | Digitalization & Dynamic capability | Digitalization & Microfoundations | Dynamic capabilities & Digitalization | Dynamic capabilities & SMEs | Dynamic capabilities & family business | Family business & Family firms | Family firms & digital innovation | SMEs & Digital innovation | SMEs & Family firms | SMEs & Innovation | SMEs & digital innovation,0.85
Emerging Concept,ryad titah,15,5,4,0.5760637937628771,0.31623338013087676,0.7171126455760761,1.0,Digital innovation & family business | Digitalization & Dynamic capability | Digitalization & Microfoundations | Dynamic capabilities & Digitalization | Dynamic capabilities & SMEs | Dynamic capabilities & family business | Family business & Family firms | Family firms & digital innovation | SMEs & digital innovation,0.75
Cross-Cluster Concept,technological innovation,15,5,3,0.5135756201303834,0.48284476090258144,0.530151458021491,2.6666666666666665,Case study & Dynamic capability | Digital transformation (DT) & mixed method | Digitalization & Dynamic capability | Digitalization & Firm performance | Digitalization & Innovation | Digitalization & Microfoundations | Dynamic capability & digital capabilities | SMEs & Digital innovation | SMEs & Innovation performance | SMEs & digital innovation | SMEs & performance,0.75
Emerging Concept,emerging market,14,5,4,0.6619522717606114,0.5615889878177134,0.7767546402081609,1.0,Case study & Dynamic capability | Digital Technology & Internationalization | Digitalization & Dynamic capability | Digitalization & Microfoundations | Dynamic capabilities & Dynamic capability theory | Dynamic capability & Digitalization | Dynamic capability & SMEs | Dynamic capability & Technological innovation | Dynamic capability theory & ESG performance | ESG performance & Dynamic capability theory | ESG performance & Firm performance,0.7
Cross-Cluster Concept,digital innovation,14,5,3,0.516395385739618,0.4486075551058509,0.5466377448536195,2.4285714285714284,Digital platforms & Autonomous growth group | Digitalization & Firm performance | Dynamic capabilities & Absorptive capacity | Dynamic capabilities & Dynamic capability | Dynamic capabilities & Dynamic capability theory | Dynamic capability & Technological innovation | Dynamic capability & competitive advantage | Dynamic capability theory & ESG performance | ESG performance & Dynamic capability theory | Industry 4.0 & Digitalization | SMEs & Innovation performance | Technological innovation & Digital Technology,0.7
Cross-Cluster Concept,business model,14,5,3,0.45561520678667594,0.4521228648925963,0.4595863444015225,1.0,Dynamic capabilities & Digitalization | Dynamic capabilities & Dynamic capability | Dynamic capabilities & Dynamic capability theory | Dynamic capabilities & SMEs | Dynamic capability & Technological innovation | ESG performance & Firm performance | Family business & Family firms | Firm performance & Dynamic capability | SMEs & Digital innovation | SMEs & Innovation | Technological innovation & Digital Technology,0.7
Emerging Concept,strategic aggressiveness,12,5,3,0.7114165275903862,0.6345643157452127,0.8396972235391678,1.0,Digital Technology & Internationalization | Digitalization & Microfoundations | Dynamic capability & Case study | Dynamic capability & Dynamic capability theory | Dynamic capability & Technological innovation | Dynamic capability theory & ESG performance | ESG performance & Digital Technology | ESG performance & Dynamic capability theory | ESG performance & Firm performance | ESG performance & Technological innovation,0.6
Emerging Concept,common language,11,5,3,0.6620430173386344,0.5304101300491408,0.7,1.0,Digital Technology & Internationalization | Digital capabilities & Dynamic capabilities | Digital capabilities & Dynamic capability | Digital platforms & Autonomous growth group | Digitalization & Microfoundations | Dynamic capabilities & Digitalization | Dynamic capabilities & Dynamic capability | Dynamic capability & Digitalization | Dynamic managerial capabilities & Innovation | Industry 4.0 & Digitalization | Industry 4.0 & Innovation,0.55
Emerging Concept,human–ai interaction,10,5,2,0.7393059880623192,0.646644551283845,0.8920550279313921,1.0,Dynamic capabilities & Digitalization | Dynamic capabilities & SMEs | SMEs & Digital innovation | SMEs & Innovation performance | SMEs & SME | SMEs & performance,0.5
Cross-Cluster Concept,firm performance,10,5,2,0.5545405420488182,0.5467333055879887,0.5623477785096476,3.0,Digital Technology & Internationalization | Digital innovation & family business | Digitalization & Dynamic capability | Digitalization & Innovation | Digitalization & Microfoundations | Dynamic capability theory & ESG performance | Family firms & digital innovation | SMEs & digital innovation,0.5
Emerging Concept,manufacturing firms,9,5,3,0.6767407632863939,0.6123439398954673,0.7265585577450226,1.0,Digital Technology & Internationalization | Digital maturity & competitive advantage | Dynamic capability & Technological innovation | Dynamic capability theory & ESG performance | Enterprise Dynamic Capabilities & “Business Model Innovation” | Technological innovation & Digital Technology,0.45
Cross-Cluster Concept,digital maturity,9,5,2,0.4935526120422453,0.48664906300313493,0.49907545127353375,2.0,Digital culture & Dynamic capability | Digital transformation (DT) & Dynamic capability | Digitalization & Microfoundations | Dynamic capability & Case study | Dynamic capability & Technological innovation | Dynamic capability theory & ESG performance | ESG performance & Firm performance,0.45
Cross-Cluster Concept,family firms,9,5,2,0.49013361325501514,0.48038318907469496,0.49793395259927126,2.0,Competitive advantage & Dynamic managerial capabilities | Digitalization & Dynamic capability | Digitalization & Firm performance | Digitalization & Microfoundations | Dynamic capability & Digitalization | Firm performance & Dynamic capability | SMEs & Innovation performance | SMEs & performance,0.45
Conceptual Combination,dynamic capabilities x digital capabilities,8,5,3,0.6131441343537536,0.5604897737579221,0.6361607835048846,11.625,Digital culture & Dynamic capability | Digital transformation (DT) & Dynamic capability | Dynamic capabilities & Firm performance | Dynamic capability & Firm performance | Dynamic capability & digital capabilities | Firm performance & Dynamic capability,0.4
