article_cluster,keyword,frequency,n_tokens,subcluster,distance_from_subcentroid,centrality,tfidf,global_frequency,is_core_domain,cluster_label
0,digital innovation,1,2,1,0.20509315605873046,0.33650714711972896,0.006679228088870498,1,False,Family firms & digital innovation
0,digital transformation,3,2,1,0.21209185483227944,0.35948836592878,0.04723341300078426,42,True,Family firms & digital innovation
0,dynamic capabilities,3,2,1,0.3543918610210046,0.4264567293832171,0.04652296179299104,30,True,Family firms & digital innovation
0,family business,1,2,0,0.1795930887671866,0.35440855260770265,0.0025692134907704983,1,False,Family firms & digital innovation
0,mittelstand firms,1,2,0,0.19567043234781645,0.40066689660504995,0.0025692134907704983,1,False,Family firms & digital innovation
0,pär ågerfalk,1,2,1,0.48717998949591856,0.5069938693094291,0.0025692134907704983,1,False,Family firms & digital innovation
0,ryad titah,1,2,2,0.1995657890984177,0.5918439942429642,0.0025692134907704983,1,False,Family firms & digital innovation
0,smes,1,1,0,0.2940765681995525,0.37970011100240975,0.011386653917105515,4,False,Family firms & digital innovation
0,technology adoption,1,2,1,0.2669139868011552,0.3890431063950257,0.0025692134907704983,1,False,Family firms & digital innovation
0,family firms,2,2,0,0.1277051598730018,0.3408007257882515,0.010055528337500487,2,False,Family firms & digital innovation
0,performance,1,1,1,0.41061293595980175,0.4835831144530236,0.030542791118635844,3,False,Family firms & digital innovation
0,thailand,1,1,2,0.19956578909841727,0.5709248987122442,0.0054856990826184825,1,False,Family firms & digital innovation
1,competitive advantage,2,2,0,0.2873065634007883,0.36232147017190974,0.008646039876485417,3,False,Competitive advantage & Dynamic managerial capabilities
1,digital maturity,1,2,1,0.30755266972071604,0.3539097987788862,0.008223326090475675,2,False,Competitive advantage & Dynamic managerial capabilities
1,digital transformation,7,2,1,0.2940889271131826,0.3403405874345524,0.04723341300078426,42,True,Competitive advantage & Dynamic managerial capabilities
1,dynamic capabilities,4,2,1,0.2451341535224899,0.33480868256778507,0.04652296179299104,30,True,Competitive advantage & Dynamic managerial capabilities
1,strategic planning,1,2,4,0.23532895227186157,0.4018214045656119,0.003921811847327148,1,False,Competitive advantage & Dynamic managerial capabilities
1,change management,1,2,1,0.32405118954047674,0.3597695995772875,0.004487946020878883,1,False,Competitive advantage & Dynamic managerial capabilities
1,telecom,1,1,2,0.39049457573212476,0.5304309852036003,0.004487946020878883,1,False,Competitive advantage & Dynamic managerial capabilities
1,yemen,1,1,3,0.0,0.7425545397180806,0.004487946020878883,1,False,Competitive advantage & Dynamic managerial capabilities
1,business model,1,2,4,0.28530473174267224,0.42036343427898193,0.010149256794475973,1,False,Competitive advantage & Dynamic managerial capabilities
1,dynamic managerial capabilities,2,3,1,0.20091473444068675,0.26335132537966255,0.006084895461738792,2,False,Competitive advantage & Dynamic managerial capabilities
1,entrepreneurship,1,1,2,0.2596845748385601,0.3582774818471608,0.0036709640120188886,1,False,Competitive advantage & Dynamic managerial capabilities
1,firm performance,1,2,0,0.3476404063557944,0.42152285448894755,0.01099710490204713,3,False,Competitive advantage & Dynamic managerial capabilities
1,dynamic capability,1,2,1,0.2607339834493023,0.35177839631782226,0.019790523260593183,6,False,Competitive advantage & Dynamic managerial capabilities
1,enterprise agility,1,2,1,0.2385942823001974,0.30488708556870325,0.004289728191952258,1,False,Competitive advantage & Dynamic managerial capabilities
1,it alignment,1,2,1,0.37521328411167154,0.4128351768328338,0.004289728191952258,1,False,Competitive advantage & Dynamic managerial capabilities
1,digital leadership,1,2,1,0.3021422813306287,0.33927767994771485,0.009086269118428565,3,False,Competitive advantage & Dynamic managerial capabilities
1,intellectual capital,1,2,0,0.16036385020127808,0.3644152424952811,0.0030216726272935556,1,False,Competitive advantage & Dynamic managerial capabilities
