item,keyword,novelty,label,comment
1,organizational capabilities,,,
2,ecosystem orchestration,,,
3,dynamic capabilities x industry 4.0,,,
4,digital innovation,,,
5,social attention,,,
6,agrifood businesses,,,
7,dt vision,,,
8,dynamic capability x industry 4.0,,,
9,human capital,,,
10,technological innovation,,,
11,firm performance,,,
12,business model,,,
13,steel industry,,,
14,digital leadership,,,
15,competitive advantage,,,
16,pär ågerfalk,,,
17,design thinking,,,
18,operational efficiency,,,
19,manufacturing firms,,,
20,ryad titah,,,
21,process digitization,,,
22,family firms,,,
23,automotive industry,,,
24,it alignment,,,
25,common language,,,
26,industry 4.0,,,
