keyword,frequency,n_tokens,cluster,distance_from_subcentroid,centrality,tfidf,global_frequency,is_core_domain,cluster_label
digital transformation,42,2,2,0.16793841735933923,0.3093809292630636,0.04723341300078426,42,True,Digitalization & Digital Technology
digitalization,5,1,2,0.17061096335380643,0.36909530263846546,0.0157996667883006,5,False,Digitalization & Digital Technology
dynamic capabilities,30,2,4,0.27302067945618314,0.37212865098954195,0.04652296179299104,30,True,Strategic agility & Strategic renewal
microfoundations,3,1,3,0.4162867038652751,0.4690926976112689,0.0079815856446649,3,False,Microfoundations & family business
qualitative interpretive research,1,3,5,0.29042177745994047,0.6029970823883005,0.002493953701260798,1,False,Qualitative interpretive research & Seizing
strategic agility,1,2,4,0.3461857582458676,0.41301454980450425,0.002493953701260798,1,False,Strategic agility & Strategic renewal
strategic renewal,1,2,4,0.39618231320014763,0.4192048128539436,0.002493953701260798,1,False,Strategic agility & Strategic renewal
technology and innovation management,1,4,0,0.2656068397776772,0.3599482435479654,0.002493953701260798,1,False,Technology and innovation management & Internationalization
reconfiguring,1,1,4,0.45719345340638773,0.5338235501254226,0.005004127282972913,1,False,Strategic agility & Strategic renewal
seizing,1,1,5,0.5980561797437773,0.6491706321965962,0.005004127282972913,1,False,Qualitative interpretive research & Seizing
sensing,1,1,5,0.46223164555993224,0.5423338417248688,0.005004127282972913,1,False,Qualitative interpretive research & Seizing
digital technology,1,2,2,0.1812243152209806,0.40018687398530806,0.0052118625833561995,1,False,Digitalization & Digital Technology
internationalization,1,1,0,0.4464689108845721,0.44686175615578927,0.0052118625833561995,1,False,Technology and innovation management & Internationalization
firm performance,3,2,1,0.32783160995686644,0.42717485721661963,0.01099710490204713,3,False,Firm performance & Organisational remodelling
digital innovation management,1,3,2,0.2057948141421495,0.29208804405880817,0.004816522088305911,1,False,Digitalization & Digital Technology
case study,3,2,5,0.3249412422612252,0.5457856121521892,0.010289425568330462,3,False,Qualitative interpretive research & Seizing
dynamic capability,6,2,4,0.27671705463082263,0.38769317811617765,0.019790523260593183,6,False,Strategic agility & Strategic renewal
emerging market,1,2,0,0.4413723439938413,0.49002480219321076,0.007143520042875603,1,False,Technology and innovation management & Internationalization
organisational remodelling,1,2,1,0.39357608127617305,0.4326828720665401,0.003748544895853194,1,False,Firm performance & Organisational remodelling
digital transformation (dt),2,3,2,0.24222680767506777,0.3682256435632846,0.06494355948868537,2,False,Digitalization & Digital Technology
mixed method,1,2,5,0.28280363643371775,0.46722348362334043,0.0022091347515356633,1,False,Qualitative interpretive research & Seizing
multiple case study,1,3,5,0.3115120183556862,0.5592971376069238,0.0022091347515356633,1,False,Qualitative interpretive research & Seizing
new product development (npd),1,4,0,0.373416322772657,0.45396431464872133,0.006033889940639775,1,False,Technology and innovation management & Internationalization
sequential explanatory approach,1,3,5,0.30135315250443195,0.48498702384561976,0.0022091347515356633,1,False,Qualitative interpretive research & Seizing
structural equation model,1,3,5,0.41009393192410815,0.5617191540461286,0.0022091347515356633,1,False,Qualitative interpretive research & Seizing
emerging technologies,1,2,0,0.34501649092215514,0.3835253741779452,0.005074152515544022,1,False,Technology and innovation management & Internationalization
iiot,1,1,0,0.4678417574319287,0.5108469007777874,0.005074152515544022,1,False,Technology and innovation management & Internationalization
digital innovation,1,2,2,0.1329648031245032,0.26337796414397197,0.006679228088870498,1,False,Digitalization & Digital Technology
family business,1,2,3,0.3334109844651054,0.5143967514543137,0.0025692134907704983,1,False,Microfoundations & family business
mittelstand firms,1,2,3,0.24522944059956808,0.5088224544941268,0.0025692134907704983,1,False,Microfoundations & family business
pär ågerfalk,1,2,4,0.6092407574347953,0.6325075062429895,0.0025692134907704983,1,False,Strategic agility & Strategic renewal
ryad titah,1,2,3,0.6753126332428783,0.769678114903186,0.0025692134907704983,1,False,Microfoundations & family business
smes,4,1,3,0.2704865285241962,0.4813068961391558,0.011386653917105515,4,False,Microfoundations & family business
